the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,2022-01-11,10297,negative,2022-03-08 16:00:02
,,2020-08-02,2859,negative,2022-03-08 16:00:02
,,2020-03-26,318,positive,2022-03-08 16:00:02
,,2021-09-06,159,positive,2022-03-08 16:00:02
,,2021-01-06,7725,negative,2022-03-08 16:00:02
,,2021-05-19,140,positive,2022-03-08 16:00:02
,,2022-01-29,1231,negative,2022-03-08 16:00:02
,,2020-07-15,3298,negative,2022-03-08 16:00:02
,,2021-09-20,397,positive,2022-03-08 16:00:02
,,2021-10-15,9065,negative,2022-03-08 16:00:02
,,2022-02-05,162,positive,2022-03-08 16:00:02
,,2020-07-08,173,positive,2022-03-08 16:00:02
,,2021-10-29,194,positive,2022-03-08 16:00:02
,,2022-02-23,8154,negative,2022-03-08 16:00:02
,,2020-06-20,2431,negative,2022-03-08 16:00:02
,,2021-06-10,40,positive,2022-03-08 16:00:02
,,2021-02-17,8284,negative,2022-03-08 16:00:02
,,2020-11-06,852,positive,2022-03-08 16:00:02
,,2021-03-13,3870,negative,2022-03-08 16:00:02
,,2020-06-27,81,positive,2022-03-08 16:00:02
,,2021-10-04,10440,negative,2022-03-08 16:00:02
,,2022-02-16,97,positive,2022-03-08 16:00:02
,,2021-05-18,158,positive,2022-03-08 16:00:02
,,2021-01-07,8038,negative,2022-03-08 16:00:02
,,2020-12-15,7318,negative,2022-03-08 16:00:02
,,2021-04-07,661,positive,2022-03-08 16:00:02
,,2020-12-02,1353,positive,2022-03-08 16:00:02
,,2021-04-20,10002,negative,2022-03-08 16:00:02
,,2021-09-28,306,positive,2022-03-08 16:00:02
,,2020-07-23,4283,negative,2022-03-08 16:00:02
,,2022-01-21,9848,negative,2022-03-08 16:00:02
,,2021-01-28,505,positive,2022-03-08 16:00:02
,,2021-05-29,2471,negative,2022-03-08 16:00:02
,,2020-11-03,6163,negative,2022-03-08 16:00:02
,,2021-03-16,510,positive,2022-03-08 16:00:02
,,2021-07-02,2367,negative,2022-03-08 16:00:02
,,2020-10-03,108,positive,2022-03-08 16:00:02
,,2021-11-10,334,positive,2022-03-08 16:00:02
,,2020-05-31,1525,negative,2022-03-08 16:00:02
,,2021-02-04,9962,negative,2022-03-08 16:00:02
,,2021-06-23,23,positive,2022-03-08 16:00:02
,,2020-09-14,103,positive,2022-03-08 16:00:02
,,2020-05-18,1171,negative,2022-03-08 16:00:02
,,2021-07-15,3378,negative,2022-03-08 16:00:02
,,2021-11-29,626,positive,2022-03-08 16:00:02
,,2020-11-29,551,positive,2022-03-08 16:00:02
,,2021-03-22,8593,negative,2022-03-08 16:00:02
,,2020-04-08,550,positive,2022-03-08 16:00:02
,,2020-08-21,3639,negative,2022-03-08 16:00:02
,,2021-12-23,10502,negative,2022-03-08 16:00:02
,,2021-08-24,407,positive,2022-03-08 16:00:02
,,2020-04-15,538,positive,2022-03-08 16:00:02
,,2021-12-30,6644,negative,2022-03-08 16:00:02
,,2021-08-17,358,positive,2022-03-08 16:00:02
,,2020-08-14,4016,negative,2022-03-08 16:00:02
,,2020-12-15,1012,positive,2022-03-08 16:00:02
,,2021-04-07,10461,negative,2022-03-08 16:00:02
,,2021-07-30,3843,negative,2022-03-08 16:00:02
,,2020-08-28,169,positive,2022-03-08 16:00:02
,,2020-05-03,916,negative,2022-03-08 16:00:02
,,2021-12-16,1036,positive,2022-03-08 16:00:02
,,2021-01-19,9164,negative,2022-03-08 16:00:02
,,2021-06-07,42,positive,2022-03-08 16:00:02
,,2020-05-28,2103,negative,2022-03-08 16:00:02
,,2021-11-07,108,positive,2022-03-08 16:00:02
,,2020-10-06,212,positive,2022-03-08 16:00:02
,,2021-07-05,1638,negative,2022-03-08 16:00:02
,,2020-10-18,3956,negative,2022-03-08 16:00:02
,,2021-02-28,174,positive,2022-03-08 16:00:02
,,2021-06-14,4772,negative,2022-03-08 16:00:02
,,2021-02-13,183,positive,2022-03-08 16:00:02
,,2021-10-15,268,positive,2022-03-08 16:00:02
,,2022-02-05,2065,negative,2022-03-08 16:00:02
,,2020-07-08,3637,negative,2022-03-08 16:00:02
,,2020-11-16,1181,positive,2022-03-08 16:00:02
,,2021-04-04,2620,negative,2022-03-08 16:00:02
,,2020-11-30,5817,negative,2022-03-08 16:00:02
